invoice_id,deal_id,invoice_type,invoice_date,invoice_due_date,paid_date,invoice_status,dunning_status,invoice_amount,delay_in_days,delay_bool,invoice_month,due_day,customer_id,deal_term,deal_monthly_amount,deal_signed_date,deal_deposit_amount,schufa_score,postal_code,date_of_birth,loyalty_status,schufa_group,deposit,deal_term_group,deal_monthly_amount_group,invoice_amount_group,age,age_group,due_day_group
in_1MLFNdHfRoBp5g8K9OHLMSkI,10880089164,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,449.0,-11.0,False,1,15,329188251.0,12,449.0,10/11/2022,0.0,9975.0,83209.0,1965-04-13,silver,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,57.0,50-59,13-17
in_1MLFNdHfRoBp5g8KVHcTLaF4,10686012597,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,788.0,-11.0,False,1,15,318709701.0,12,788.0,26/10/2022,0.0,,,1991-11-04,gold,,False,7 - 12,500 - 999,500 - 999,31.0,30-39,13-17
in_1MLFNkHfRoBp5g8KBHPzXVy0,10390269996,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,799.0,-11.0,False,1,15,299494701.0,12,799.0,03/10/2022,0.0,,,1986-04-18,gold,,False,7 - 12,500 - 999,500 - 999,36.0,30-39,13-17
in_1MLFQ9DOkQuZ6Q4MxXOUR1zx,8298828450,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,379.05,-11.0,False,1,15,51331651.0,12,379.05,21/03/2022,0.0,9804.0,42389.0,1962-06-16,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,60.0,60-69,13-17
in_1MLFQBDOkQuZ6Q4MgvQ67N8i,8897511429,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,398.0,-11.0,False,1,15,230106451.0,12,398.0,13/05/2022,0.0,9794.0,83435.0,1973-12-09,silver,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,49.0,40-49,13-17
in_1MLFQODOkQuZ6Q4MBwv4dusz,8980140384,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,360.05,-11.0,False,1,15,87729251.0,13,360.05,22/05/2022,0.0,9944.0,85051.0,1980-10-21,silver,"9,750 - 10000",False,13 - 18,0 - 499,0 - 499,42.0,40-49,13-17
in_1MLFQUDOkQuZ6Q4MEMJBi5T0,10893353571,monthly,2023-01-01,2023-01-15,2023-01-01,paid,,459.0,-14.0,False,1,15,311450851.0,12,459.0,11/11/2022,0.0,9797.0,81377.0,1988-06-23,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,34.0,30-39,13-17
in_1MLFQUDOkQuZ6Q4MFOU0tApX,11029925493,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,529.2,-11.0,False,1,15,337192351.0,13,529.2,21/11/2022,0.0,9888.0,60316.0,1977-09-05,gold,"9,750 - 10000",False,13 - 18,500 - 999,500 - 999,45.0,40-49,13-17
in_1MLK8KDOkQuZ6Q4MIVV3u2zH,7268234571,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,489.0,-11.0,False,1,15,159344201.0,13,489.0,16/12/2021,0.0,9048.0,16540.0,1989-04-29,gold,"9,000 - 9,249",False,13 - 18,0 - 499,0 - 499,33.0,30-39,13-17
in_1MLNoXHfRoBp5g8KeZoSHNgQ,7986885156,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,689.0,-11.0,False,1,15,183529651.0,24,689.0,22/02/2022,0.0,9854.0,89077.0,1965-08-20,platinum,"9,750 - 10000",False,19 - 24,500 - 999,500 - 999,57.0,50-59,13-17
in_1MLQGBDOkQuZ6Q4MVzjmsart,7525130283,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,470.38,-11.0,False,1,15,96128501.0,13,464.55,14/01/2022,0.0,9750.0,50354.0,1990-07-16,silver,"9,750 - 10000",False,13 - 18,0 - 499,0 - 499,32.0,30-39,13-17
in_1MLSmmDOkQuZ6Q4MJPFgwX0S,7346197260,monthly,2023-01-01,2023-01-15,2023-01-18,paid,successfull,419.0,3.0,True,1,15,161277001.0,18,419.0,27/12/2021,0.0,8852.0,31840.0,1982-03-20,gold,"8,500 - 8,999",False,13 - 18,0 - 499,0 - 499,40.0,40-49,13-17
in_1MLT4EDOkQuZ6Q4M1BL3AeEN,8174289537,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,419.0,-11.0,False,1,15,191922651.0,12,419.0,09/03/2022,0.0,9909.0,14165.0,1969-10-08,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,53.0,50-59,13-17
in_1MLT4KDOkQuZ6Q4MMI0ohHun,7589031840,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,531.05,-11.0,False,1,15,39223551.0,13,531.05,17/01/2022,0.0,9990.0,31275.0,1973-01-17,gold,"9,750 - 10000",False,13 - 18,500 - 999,500 - 999,49.0,40-49,13-17
in_1MLTWlDOkQuZ6Q4MbSn6Lae6,7355927682,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,379.0,-11.0,False,1,15,136338601.0,13,379.0,28/12/2021,0.0,9964.0,1990.0,1973-12-15,gold,"9,750 - 10000",False,13 - 18,0 - 499,0 - 499,49.0,40-49,13-17
in_1MLUf0HfRoBp5g8KN5npLRhC,8013168999,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,369.55,-11.0,False,1,15,41224401.0,12,369.55,24/02/2022,0.0,8126.0,58332.0,1986-02-15,platinum,"8,000 - 8,499",False,7 - 12,0 - 499,0 - 499,36.0,30-39,13-17
in_1MLVXLDOkQuZ6Q4MHR8G8Js6,10685455659,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,399.0,-11.0,False,1,15,318685451.0,13,399.0,26/10/2022,0.0,,,1975-05-04,gold,,False,13 - 18,0 - 499,0 - 499,47.0,40-49,13-17
in_1MLVczDOkQuZ6Q4Mhj8LCNzz,7942277295,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,359.66,-11.0,False,1,15,115682851.0,12,348.0,18/02/2022,0.0,,,1998-05-08,silver,,False,7 - 12,0 - 499,0 - 499,24.0,20-29,13-17
in_1MLZ0FDOkQuZ6Q4MlDf0XL6A,7861436271,monthly,2023-01-01,2023-01-15,2023-01-01,paid,,384.83,-14.0,False,1,15,171378951.0,13,379.0,09/02/2022,0.0,9346.0,10117.0,1993-09-29,gold,"9,250 - 9,499",False,13 - 18,0 - 499,0 - 499,29.0,20-29,13-17
in_1MLaVgDOkQuZ6Q4MbuYd3r4V,6050146095,monthly,2023-01-02,2023-01-16,2023-01-04,paid,,311.55,-12.0,False,1,16,110016251.0,15,439.0,28/08/2021,0.0,9443.0,53757.0,1994-09-28,gold,"9,250 - 9,499",False,13 - 18,0 - 499,0 - 499,28.0,20-29,13-17
in_1MLbSKHfRoBp5g8KUXVcr8kp,9487903923,monthly,2023-01-02,2023-01-16,2023-01-04,paid,,553.83,-12.0,False,1,16,256474151.0,6,548.0,14/07/2022,0.0,8787.0,60314.0,1988-02-04,platinum,"8,500 - 8,999",False,0 - 6,500 - 999,500 - 999,34.0,30-39,13-17
in_1MLbSKHfRoBp5g8KlAzTWFkf,9141585723,monthly,2023-01-02,2023-01-16,2023-01-02,paid,,879.0,-14.0,False,1,16,241566601.0,6,1079.0,09/06/2022,0.0,,,1982-01-26,silver,,False,0 - 6,"1,000 - 1,499",500 - 999,40.0,40-49,13-17
in_1MLbSKHfRoBp5g8Kn96R0B93,9521743752,monthly,2023-01-02,2023-01-16,2023-01-04,paid,,664.2,-12.0,False,1,16,386712851.0,12,664.2,18/07/2022,0.0,,,,,,False,7 - 12,500 - 999,500 - 999,,,13-17
in_1MLbSLHfRoBp5g8K0qvBAZAj,10710782532,monthly,2023-01-02,2023-01-16,2023-01-04,paid,,1038.0,-12.0,False,1,16,310962801.0,12,1038.0,27/10/2022,0.0,9420.0,10249.0,1994-05-11,platinum,"9,250 - 9,499",False,7 - 12,"1,000 - 1,499","1,000 - 1,499",28.0,20-29,13-17
in_1MLbSLHfRoBp5g8K6BFxj8k8,8703073206,monthly,2023-01-02,2023-01-16,2023-01-04,paid,,369.0,-12.0,False,1,16,157809301.0,12,369.0,24/04/2022,0.0,9941.0,74172.0,1977-03-04,silver,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,45.0,40-49,13-17
in_1MLbSLHfRoBp5g8K7oZKhtKh,8581614156,monthly,2023-01-02,2023-01-16,2023-01-04,paid,,359.1,-12.0,False,1,16,213321101.0,12,359.1,11/04/2022,0.0,9958.0,73326.0,1968-08-12,platinum,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,54.0,50-59,13-17
